name;street;zip;city
Adler-Apotheke;Bahnhofstr. 13;29525;Uelzen
Adler-Apotheke;Ritterstr. 14;39435;Egeln
Adler-Apotheke;Friedrichstr. 6;14669;Ketzin/Havel
Adler-Apotheke;Obermarkt 23;37269;Eschwege
Adler-Apotheke;Torgauer Str. 76;04916;Herzberg
Adler-Apotheke;Kaiserstr. 126;53721;Siegburg
Adler-Apotheke;Konrad-Wolf-Str. 132;13055;Berlin
Adler-Apotheke;Hauptstr. 15;01904;Neukirch/Lausitz
Adler-Apotheke;Birkenstr. 13a;85604;Zorneding
Adler-Apotheke;Hauptstr. 62;58313;Herdecke
Adler-Apotheke;Marktplatz 16;41516;Grevenbroich
Adler-Apotheke;Hauptstr. 20;58802;Balve
Adler-Apotheke;Markt 19;01968;Senftenberg
Adler-Apotheke;Schweriner Str. 13;19217;Rehna
Adler-Apotheke;Bahnhofstr. 11;36132;Eiterfeld
Adler-Apotheke;Lange Str. 37;89542;Herbrechtingen
Adler-Apotheke;Hauptstr. 51;21729;Freiburg (Elbe)
Adler-Apotheke;Kirchstr. 4;48324;Sendenhorst
Adler-Apotheke;Hauptstr. 89;55232;Alzey
Adler-Apotheke;Hauptstr. 71;38835;Zilly
Adler-Apotheke;Ebinger Str. 59;72469;Meßstetten
Adler-Apotheke;Burgstr. 14-16;46519;Alpen
Adler-Apotheke;Morgenbergstr. 2;08525;Plauen
Adler-Apotheke;Leopoldstr. 4;54550;Daun
Adler-Apotheke;Neuperverstr. 24;29410;Salzwedel, Hansestadt
Adler-Apotheke;Breiter Weg 28;14793;Ziesar
Adler-Apotheke;Friedrich-Rech-Str. 146;56566;Neuwied
Adler-Apotheke;Carl-Schurz-Str. 103;50374;Erftstadt
Adler-Apotheke;Chaussee 66-70;37345;Am Ohmberg
Adler-Apotheke;Pützgasse 4;53881;Euskirchen
Adler-Apotheke;Lindenstr. 25;37351;Dingelstädt
Adler-Apotheke;Hellerstr. 2;42555;Velbert
Adler-Apotheke;Königstr. 4;48268;Greven
Adler-Apotheke;Puschkinplatz 8;07973;Greiz
Adler-Apotheke;Obere Schloßstr. 7;08340;Schwarzenberg
Adler-Apotheke;Bahnhofstr. 19;34613;Schwalmstadt
Adler-Apotheke;Walther-Rathenau-Str. 3;47229;Duisburg
Adler-Apotheke;Bielsteiner Str. 117;51674;Wiehl
Adler-Apotheke;Kramerstr. 11;87700;Memmingen
Adler-Apotheke;Marktstr. 1;57537;Wissen
Adler-Apotheke;Alleestr. 11;42853;Remscheid
Adler-Apotheke;Elberfelder Str. 74;58095;Hagen
Adler-Apotheke;Berliner Str. 201;14547;Beelitz
Adler-Apotheke;Marktplatz 2;40878;Ratingen
Adler-Apotheke;Steinweg 2;38489;Beetzendorf
Adler-Apotheke;Weberstr. 71;53113;Bonn
Adler-Apotheke;Nassauische Str. 25;57299;Burbach
Adler-Apotheke;Hauptstr. 65;06528;Wallhausen
Adler-Apotheke;Am Weinberg 8-10;29456;Hitzacker (Elbe)
Adler-Apotheke;Hauptstr. 41;53567;Asbach
Adler-Apotheke;Kupferstraße 15;17328;Penkun
Adler-Apotheke;Markt 6;97421;Schweinfurt
Adler-Apotheke;Meisterstr. 8;17291;Gramzow
Adler-Apotheke;Wilhelmstr. 16;45219;Essen
Adler-Apotheke;Am Kreuzweg 5;30926;Seelze
Adler-Apotheke;Langener Str. 18;63303;Dreieich
Adler-Apotheke am alten Rhin;Wulkower Chaussee 2a;16827;Alt Ruppin
Adler-Apotheke OHG;Bahnhofstrasse 19;34613;Schwalmstadt
Adler-Apotheke OHG;Hauptstr. 5a;66907;Glan-Münchweiler
Adler-Apotheke OHG;Neutorstr. 96;26721;Emden
Adler-Apotheke OHG;Hochstr. 75;47665;Sonsbeck
Adler-Apotheke Pharmaservice OHG;Borgfelder Str. 36;20537;Hamburg
Adler-Apotheke Ruepp;Alleestr. 11;42853;Remscheid
Adler-Apotheke Ruhrort;Neumarkt 18;47119;Duisburg
Admira-Apotheke OHG;Nürnberger Str. 28;91257;Pegnitz
Aesculap-Apotheke;Albert-Funk-Schacht-Str. 1c;09376;Oelsnitz/Erzgeb.
Aesculap-Apotheke;Haingraben 11;61169;Friedberg (Hessen)
Aesculap-Apotheke;Bahnhofstr. 17;34212;Melsungen
Aesculap-Apotheke;Kuhberg 43-45;24534;Neumünster
Aesculap-Apotheke;Günzstr. 1;93059;Regensburg
Aesculap-Apotheke;Oßwaldstr. 1a;82319;Starnberg
Aesculap-Apotheke;Hermann-Ehlers-Weg 4;25337;Elmshorn
Aesculap-Apotheke;Münchener Str. 13;47249;Duisburg
Aesculap-Apotheke;Lübbecker Straße 110;32584;Löhne
Aesculap-Apotheke am ZOB;Süderhofenden 12;24937;Flensburg
Aesculap-Apotheke Weißenfels;Naumburger Str. 74;06667;Weißenfels
AEZ-Apotheke;Altenessener Str. 411-417;45329;Essen
Agaplesion Diakonieklinikum Rotenbu;Verdener Str. 200;27356;Rotenburg
Agatha-Apotheke;Am Rott 29;57368;Lennestadt
Agathen-Apotheke;Blasistr. 25;79650;Schopfheim
Agnes-Bernauer-Apotheke;Agnes-Bernauer-Str. 38;80687;München
Agricola-Apotheke;Chemnitzer Str. 4;08371;Glauchau
Agricola-Apotheke;Lortzingstr. 121;09119;Chemnitz
Ahlhorner-Apotheke;Wildeshauser Str. 7c;26197;Großenkneten
Ahorn Apotheke;Berta-Schneyer-Str. 2;99867;Gotha
Ahorn Apotheke;Sudetendeutsche Str. 1c;93057;Regensburg
Ahorn Apotheke;Deichstr. 1;21683;Stade-Bützfeld
Ahorn Apotheke;Damerowstr. 7;13187;Berlin
Ahorn Apotheke;Bronckhorststr. 4;44319;Dortmund-Asseln
Ahorn-Apotheke;Hamburger Str. 33;21493;Schwarzenbek
Ahorn-Apotheke;Bahnhofstr. 7;34497;Korbach
Ahorn-Apotheke;Vor dem Tore 4;37181;Hardegsen
Ahorn-Apotheke;Waldschulstr. 43a;65933;Frankfurt am Main
Ahorn-Apotheke;Petersburger Str. 31;10249;Berlin
Ahorn-Apotheke;Bahnhofstr. 6-8;64546;Mörfelden-Walldorf
Ahorn-Apotheke;Schangstr. 1-5;45259;Essen
Ahorn-Apotheke;Bendmannstr. 7;47447;Moers
Ahorn-Apotheke;Damerowstr. 7;13187;Berlin
Ahorn-Apotheke;Schangstr. 1-3;45259;Essen
Ahorn-Apotheke;Krankenhausstr. 107;50354;Hürth
Ahorn-Apotheke;Valencienner Str. 134;52355;Düren
Ahorn-Apotheke;Dürerstraße 11;68163;Mannheim-Neuostheim
Ahorn-Apotheke Schoeneberg;Innsbrucker Str. 25;10825;Berlin
Akazien-Apotheke;Hauptstr. 19;10827;Berlin
Akazien-Apotheke;Therese-Giehse-Allee 70;81739;München
Aktiv-Apotheke;Waldenburger Str. 111;08371;Glauchau
Alamannen-Apotheke;Tübinger Str. 11;71088;Holzgerlingen
Albanus Apotheke;Albanusstraße 22;65929;Frankfurt a. M.
Albanus-Apotheke;Hauptstr. 9;74254;Offenau
Alb-Apotheke;Wilhelmstr. 21;89547;Gerstetten
Albatros-Apotheke;Oberurseler Str. 2;28307;Bremen
Albert-Schweitzer-Apotheke;Krefelder Str. 30;47226;Duisburg
Albert-Schweitzer-Apotheke;Albert-Schweitzer-Ring 26g;25524;Itzehoe
Albert-Schweitzer-Apotheke;Uhlandstr. 9;40237;Düsseldorf
Albert-Trautmann-Apotheke;Hauptstr. 36;49757;Werlte
Albertus Magnus;Albertus-Magnus-Str. 7;57072;Siegen
Albertus-Apotheke OHG;Alte Flughafenstr. 4;40474;Düsseldorf
Albrecht-Apotheke Steglitz;Schloßstr. 40;12165;Berlin
Albrecht-Dürer-Apotheke;Ohserstr. 4;28279;Bremen
Albtal-Apotheke;Schöllbronner Str. 2;76275;Ettlingen
Albuch-Apotheke;Hauptstr. 72;89555;Steinheim am Albuch
Alexander-Apotheke-Nord;Dörrenbachstr. 22a;98528;Suhl
Alexander-Tschirch-Apotheke;Karl-Marx-Str. 52;03172;Guben
Alexandrinen-Apotheke;Warnemünder Str. 29;14199;Berlin
Alexianer St.Hedwig Kliniken GmbH;Große Hamburger Str. 5 - 11;10115;Berlin
Alfsee-Apotheke;Thiener Str. 12;49594;Alfhausen
Alheimer-Apotheke;Nürnberger Str. 42;36211;Alheim
Allee-Apotheke;Rethelstr. 1a;40237;Düsseldorf
Allee-Apotheke;Deisterallee 12;31785;Hameln
Allee-Apotheke;Allee 11;59439;Holzwickede
Allee-Apotheke;Alleestr. 11;66265;Heusweiler
Allerburg-Apotheke;Allerburg 16;66640;Naumborn-Eisweiler
Allesgut Apotheke in der;Martinistraße 23;48268;Greven
Allmann'sche Apotheke;Marktplatz 41;88400;Biberach an der Riß
Alme-Apotheke;Bahnhofstr. 22;33142;Büren
Alpen-Apotheke;Alpenstr. 25;83556;Griesstätt
Alpen-Apotheke;Bahnhofstr. 36;87509;Immenstadt i. Allgäu
Alpha-Apotheke;Fürther Str. 39;91126;Schwabach
Alpha-Apotheke;Emil-Barth-Str. 21;40595;Düsseldorf
Alphapoint-Apotheke;Öjendorfer Damm 50;22043;Hamburg
Altdorf-Apotheke;Zeppelinstr. 5;88250;Weingarten
Alte Apotheke;Hauptstr. 15a;26215;Wiefelstede
Alte Apotheke;Hauptstr. 72;28865;Lilienthal
Alte Apotheke;Marktstr. 7;60388;Frankfurt am Main
Alte Apotheke;Wilhelm-Schussen-Str. 23;88427;Bad Schussenried
Alte Apotheke;Weserstrandstr. 17;28779;Bremen
Alte Apotheke;Lohstr. 6a;45711;Datteln
Alte Apotheke;Kirchstraße 31;23795;Bad Segeberg
Alte Apotheke Erle;Cranger Str. 296;45891;Gelsenkirchen
Alte Apotheke in Schnelsen;Frohmestr. 47;22457;Hamburg
Alte Apotheke Kappelrodeck;Hauptstr. 19;77876;Kappelrodeck
Alte Apotheke Selsingen;Hauptstr. 18;27446;Selsingen
Alte Apotheke Volksdorf;Im Alten Dorfe 38;22359;Hamburg
Alte Elefanten Apotheke;Essener Str. 12;45899;Gelsenkirchen
Alte Hirsch-Apotheke;Frankfurter Str. 15;58553;Halver
Alte Hof-Apotheke;Marktstr. 35;83646;Bad Tölz
Alte Markt-Apotheke;Am Markt 1;49808;Lingen (Ems)
Alte Rathaus-Apotheke;Musbeker Weg 1;24955;Harrislee
Alte Rats-Apotheke;Lange Str. 16;29664;Walsrode
Alte Sonnen-Apotheke OHG;Markt 2;49740;Haselünne
Alte Spree-Apotheke;Alt-Tegel 5;13507;Berlin
Alte Vilser-Apotheke;Brautstr. 8;27305;Bruchhausen-Vilsen
Alte-Amts-Apotheke;Amtsdamm 34;27628;Hagen im Bremischen
Alte-Apotheke;Hauptstr. 12;58739;Wickede (Ruhr)
Alte-Apotheke;Am Rathaus 1;57368;Lennestadt
Alte-Apotheke;Altmarkt 5/6;02708;Löbau
Alte-Apotheke;Neufchateaustr. 4;59077;Hamm
Alte-Apotheke;Enggasse 1;64846;Groß-Zimmern
Alte-Apotheke;Oberstr. 151;56154;Boppard
Alte-Apotheke;Wetzlarer Str. 5;35510;Butzbach
Alte-Apotheke;Markt 19;07426;Königsee-Rottenbach
Alte-Apotheke;Bamenohler Str. 222;57413;Finnentrop
Alte-Apotheke;Kaiserstr. 13;38690;Goslar
Alte-Apotheke Wickede;Hauptstr. 12;58739;Wickede
Altmark-Apotheke;Wartenberger Chaussee 7;39629;Bismark (Altmark)
Altmark-Apotheke;Hagenstr. 1;38486;Klötze
Altrhein-Apotheke;Hauptstr. 42;67575;Eich
Altrhein-Apotheke;Oberstr. 4;64589;Stockstadt am Rhein
Altstadt-Apotheke;Freyung 12;92536;Pfreimd
Altstadt-Apotheke;Breite Str. 15;92421;Schwandorf
Altstadt-Apotheke;An der Försterei 1-3;37327;Leinefelde-Worbis
Altstadt-Apotheke;Münsterstr. 13;44534;Lünen
Altstadt-Apotheke;Breite Str. 14;21614;Buxtehude
Altstadt-Apotheke;Altstadt 27;84028;Landshut
Altstadt-Apotheke;Königstr. 56;15890;Eisenhüttenstadt
Altstadt-Apotheke;Feldstr. 7a;54516;Wittlich
Altstadt-Apotheke;Voerder Str. 2a;58135;Hagen
Altstadt-Apotheke am Papenberg;Papenberg 25-26;38350;Helmstedt
Altstadt-Apotheke Brüning;Ludgeristr. 100;59379;Selm
Altstadt-Apotheke OHG;Altstadt 27;84028;Landshut
Alz-Apotheke;Herzog-Ludwig-Str. 7;83308;Trostberg
Amalien-Apotheke im EKZ Weißes Ross;Celler Str. 30;38114;Braunschweig
Ambrosius-Apotheke;Großer Kamp 21;48346;Ostbevern
AMEOS Klinikum Halberstadt;Gleimstr. 5;38820;Halberstadt
Amper-Apotheke;Dachauer Str. 5;82140;Olching
Amper-Apotheke;Geschwister-Scholl-Platz 4;82256;Fürstenfeldbruck
Amper-Apotheke;Münchener Str. 13;85391;Allershausen
Amts-Apotheke;Windmühlenweg 1;37696;Marienmünster
Amts-Apotheke;Wilhelmstr. 2;57627;Hachenburg
Amts-Apotheke;Mittelstr. 21;56305;Puderbach
Amts-Apotheke;Hauptstr. 87;35745;Herborn
Amts-Apotheke;Limbecker Str. 54;44388;Dortmund
Andrea Apotheke;Limmerstr. 17;30451;Hannover
Andrea-Apotheke;Limmerstr. 17;30451;Hannover
Andreas-Apotheke;Reimsbacher Str. 40-42;66701;Beckingen
Andreas-Apotheke;Oldenburger Str. 25;27753;Delmenhorst
Andreas-Apotheke;Almsstr. 3;31134;Hildesheim
Andreas-Apotheke;Hasenwinkeler Str. 204;44879;Bochum
Andreas-Apotheke;Paulinenstr. 10;45130;Essen
Andreas-Apotheke;Wassergasse 2;55270;Klein-Winternheim
Andreas-Apotheke;Lichtenfelser Str. 2a;90427;Nürnberg
Andreas-Hofer-Apotheke;Kemptener Str. 2;87452;Altusried
Anger-Apotheke;Raiffeisenstr. 103;47259;Duisburg
Angerloh-Apotheke;Allacher Str. 196;80997;München
Angertor-Apotheke;Hans-Sachs-Str. 1;80469;München
Anker-Apotheke;Kronshagener Weg 59;24116;Kiel
Anker-Apotheke;Rhauderwieke 2;26817;Rhauderfehn
Anker-Apotheke;Friedrich-Ebert-Str. 113;26954;Nordenham
Anker-Apotheke;Bergstr. 11;23774;Heiligenhafen
Anker-Apotheke;Brahmsstr. 29;27474;Cuxhaven
Anker-Apotheke;Seydaer Str. 1;06895;Zahna-Elster
Anker-Apotheke;Gökerstr. 62;26384;Wilhelmshaven
Anker-Apotheke;Steinstr. 25;26931;Elsfleth
Anker-Apotheke Neermoor;Süderstr. 19;26802;Moormerland
Anna-Apotheke;Bahnhofstr. 18c;85375;Neufahrn b. Freising
Anna-Apotheke;Wirtelstr. 2;52349;Düren
Annen-Apotheke;Hoffmannallee 100;47533;Kleve
Annen-Apotheke;St. Annenstr. 10;66606;St. Wendel
antares Apotheke Niedersachsen KHV;Bachweg 5;29313;Hambühren
antares-Apotheke KHV;Albert-Schweitzer-Ring 22;22045;Hamburg
antares-Apotheke KHV;Hannoversche Str. 69;28309;Bremen
antares-apotheke OHG;Albert-Schweitzer-Ring 22;22045;Hamburg
antares-apotheke OHG Struensee-Haus;Mörkenstr. 43-47;22767;Hamburg
antares-Apotheke Pharma Service KHV;Albert-Schweitzer-Ring 22;22045;Hamburg
Anthemis-Apotheke;Münchener Str. 36;91567;Herrieden
Antonius Apotheke;Hauptstr. 26/2;88433;Schemmerhofen
Antonius-Apotheke;Untertor 3;37339;Leinefelde-Worbis
Antonius-Apotheke;Augsburger Str. 26;89312;Günzburg
Antonius-Apotheke;Berliner Str. 14;84478;Waldkraiburg
Antonius-Apotheke;Bahnhofsallee 3;86438;Kissing
Antonius-Apotheke;Toniusplatz 3;53913;Swisttal
Antonius-Apotheke;Schulstr. 25;53757;Sankt Augustin
Antonius-Apotheke;Geratsberger Str. 8;84130;Dingolfing
Antonius-Apotheke;Bahnhofstr. 14;84503;Altötting
Antonius-Apotheke;Neustr. 8;48599;Gronau (Westf.)
Antonius-Apotheke;Vilstalstraße 88;92245;Kümmersbruck
Antonius-Apotheke;Professor-Egon-Schneider-Weg 1;57482;Wenden
Antonius-Apotheke KHV;Poschinger Str. 33;94469;Deggendorf
Apfel-Apotheke;Darmstädter Str. 79;64839;Münster
Apfel-Apotheke;Zeil 65-69;60313;Frankfurt am Main
Apo Plus Die Apotheke am Bahnhof;Gustav-Stresemann-Str. 1;89257;Illertissen
Apollo-Apotheke;Marktler Str. 33;84489;Burghausen
Apollo-Apotheke;Carl-von-Ossietzky-Str. 153;09127;Chemnitz
Apollo-Apotheke Süd;Geibelstr. 20b;99096;Erfurt
Apollonia-Apotheke;Lebacher Str. 33;66740;Saarlouis
Aponexx-Apotheke im InCenter;Kopernikusstr. 2;85221;Dachau
apo-rot Apotheke am Löwel-Platz;Seminarstr. 7;08523;Plauen
apo-rot Apotheke Bahrenfeld;Gasstr. 12;22761;Hamburg
apo-rot Vita-Apotheke;Friedrich-Ebert-Str. 5;25421;Pinneberg
apo-rot-Apotheke Rahlstedt;Rahlstedter Bahnhofstr. 20;22143;Hamburg
Aposanum OHG-Lilien-Apotheke;Am Houiller Platz 2;61381;Friedrichsdorf
Aposteln-Apotheke;Benrather Marktplatz 9;40597;Düsseldorf
Apotheke 35 OHG;Bahnhofstr. 38a;47495;Rheinberg
Apotheke 55 im Rudolf-Virchow-Haus;Hauptstr. 55;28844;Weyhe
Apotheke A 4 KHV;Augsburger Str. 4;89231;Neu-Ulm
Apotheke A3;Im Gewerbepark 4;91093;Heßdorf
Apotheke A-4 OHG;Augsburger Str. 4;89231;Neu-Ulm
Apotheke Aidlingen;Badstr. 2;71134;Aidlingen
Apotheke Althaldensleben;Neuhaldensleber Str. 46c;39340;Haldensleben
Apotheke am Adenauerplatz;Kurfürstendamm 69;10707;Berlin
Apotheke am AKH;Hoserkirchweg 63a;41747;Viersen
Apotheke am Alten Bach;Am Alten Bach 39-41;41470;Neuss
Apotheke am Alten Bahnhof;Dr.-Gottfried-Cremer-Allee 31;50226;Frechen
Apotheke am Alten Bahnhof;Bahnhofstr. 18;46342;Velen
Apotheke am Alten Markt;Weststr. 1;44866;Bochum
Apotheke am Alten Postweg;Alter Postweg 94;86159;Augsburg
Apotheke Am alten Rad;Kaiser-Friedrich-Str. 98;14469;Potsdam
Apotheke am alten Rathaus;Hauptstr. 10;78727;Oberndorf am Neckar
Apotheke am Altmarkt;Hamborner Altmarkt 10;47166;Duisburg
Apotheke am Amtsbrunnen;Mühlenstr. 3;49751;Sögel
Apotheke am Andreas-Hofer-Platz;Andreas-Hofer-Platz 10;24147;Kiel
Apotheke am Ärztehaus;Bonn-Brühler-Str. 42;53332;Bornheim
Apotheke am Asternplatz;Asternplatz 3;12203;Berlin
Apotheke am Atzelhof;Steubenstr. 32;69121;Heidelberg
Apotheke am Bach;Hauptstr. 66;85399;Hallbergmoos
Apotheke am Bahnhof;Rielingshäuser Str. 1;71672;Marbach am Neckar
Apotheke am Bahnhof;Kölner Str. 32;41812;Erkelenz
Apotheke am Bahnhof;Weiseler Str. 41;35510;Butzbach
Apotheke am Bahnhof;Friedrich-Bodelschwingh-Str. 14;02943;Weißwasser/O.L.
Apotheke am Bahnhof;Kaiserstr. 33;97070;Würzburg
Apotheke am Bahnhof Altena;Bahnhofstr. 19;58762;Altena
Apotheke am Bahnhof OHG;Veybachstr. 18;53879;Euskirchen
Apotheke am Bahnhof Volksdorf;Farmsener Landstr. 189;22359;Hamburg
Apotheke am Bahrenpark;Paul-Dessau-Str. 5;22761;Hamburg
Apotheke am Bärenweg;Bärenweg 25;76149;Karlsruhe
Apotheke am Bauhaus;Kroosgang 15;48565;Steinfurt
Apotheke am Bayerischen Platz;Bayerischer Platz 6;10779;Berlin
Apotheke am Bayrischen Platz;Riemannstr. 8;04107;Leipzig
Apotheke am Berg;Marktstr. 40;94107;Untergriesbach
Apotheke am Bergle;Schillerstr. 46;71665;Vaihingen an der Enz
Apotheke am Berliner Platz;Überlinger Str. 4;78224;Singen (Hohentwiel)
Apotheke am Berliner Platz;Walsroder Str. 20;30851;Langenhagen
Apotheke am Bonner Platz;Bonner Platz 2;80803;München
Apotheke am Boyer Markt;Johannesstr. 1-3;46240;Bottrop
Apotheke am Brand;Am Brand 28;55116;Mainz
Apotheke am Breidenplatz;Gerresheimer Landstr. 123;40627;Düsseldorf
Apotheke am Brink;Wismarsche Str. 4;18057;Rostock
Apotheke am Bronner Berg;Leibnizstr. 5;88471;Laupheim
Apotheke am Brühl;Brühl 1a;06217;Merseburg
Apotheke am Brunnen;Mainzer Str. 15;55262;Heidesheim am Rhein
Apotheke am Brunnen;Bahnhofstr. 77;59199;Bönen
Apotheke am Brunnenplatz OHG;Kirchstr. 3;35764;Sinn
Apotheke am Buchhügel;Lichtenplattenweg 51;63071;Offenbach am Main
Apotheke am Bügel;Ben-Gurion-Ring 54;60437;Frankfurt am Main
Apotheke am Bunzlauer Platz;Bunzlauer Platz 7;80992;München
Apotheke am Bürgerpark;Lübbecker Str. 207;32429;Minden
Apotheke am Bürgerplatz;Theodor-Heuss-Str. 21;50374;Erftstadt
Apotheke am Central;Dahler Str. 1;42653;Solingen
Apotheke am Clemenshospital;Düesbergweg 128;48153;Münster
Apotheke am Damm;Am Damm 17;55232;Alzey
Apotheke Am Diakonissenhaus;Georg-Schwarz-Str. 53;04179;Leipzig
Apotheke am Dom;Domplatz 11;39104;Magdeburg
Apotheke am Dombogen;Lüttinger Str. 25;46509;Xanten
Apotheke am Dorfplatz;Dorfstr. 156;24222;Schwentinental
Apotheke am Driescher Hof;Danziger Str. 6;52078;Aachen
Apotheke am Drostenplatz;Am Drostenplatz 5;58802;Balve
Apotheke am Dudoplatz;Dudoplatz 1;66125;Saarbrücken
Apotheke am Dürrbach;St.-Josef-Str. 4;97080;Würzburg
Apotheke am Eck;Kirchstr. 2;79585;Steinen
Apotheke am Eichelberg;Großsachsener Str. 24/4;69469;Weinheim
Apotheke am Engelbecken;Heinrich-Heine-Str. 15;10179;Berlin
Apotheke am Erbach;Berliner Str. 104;66424;Homburg
Apotheke am Erlbach;Vilsheimer Str. 1a;84172;Buch a. Erlbach
Apotheke am Europaplatz;Straßburger Str. 2a;26123;Oldenburg
Apotheke am Ev.Krankenhaus;Wiedenbrücker Str. 31;59555;Lippstadt
Apotheke Am Externberg;Evinger Str. 273;44339;Dortmund
Apotheke am Feuersee;Hauptstr. 91;74206;Bad Wimpfen
Apotheke Am Flughafen;Heidestr. 254;51147;Köln
Apotheke am Forst;Ahornweg 1;91599;Dentlein a. Forst
Apotheke am Forum;Helene-Mayer-Ring 14;80809;München
Apotheke am Forum OHG;Helene-Mayer-Ring 14;80809;München
Apotheke am Franziskus-;Magdalena-Daemen-Strasse 20;53545;Linz
Apotheke am Friedrichsplatz;Fabrikstraße 53;47119;Duisburg
Apotheke am Fürstenberg;Fürstenbergstr. 86;78467;Konstanz
Apotheke am Gesundheitszentrum OHG;Lipschitzallee 22;12351;Berlin
Apotheke am Golfplatz;Weißdornstr. 23-25;47269;Duisburg
Apotheke am Grauturm;Marktplatz 38;96106;Ebern
Apotheke am Gutshof;Hauptstr. 9;79224;Umkirch
Apotheke am Hansaplatz;Wißstr. 7;44137;Dortmund
Apotheke am Harthwald;Alfred-Neubert-Str. 17;09123;Chemnitz
Apotheke am Hauptbahnhof;Steindamm 2;20099;Hamburg
Apotheke am Hauptbahnhof;Münsterstr. 55;44534;Lünen
Apotheke am Hauptbahnhof;Kurt-Schumacher-Platz 11-12;44787;Bochum
Apotheke am Hauptplatz;Hauptplatz 10a;86971;Peiting
Apotheke am Hauptzollamt;Landsberger Str. 113;80339;München
Apotheke am Heckerdamm;Heckerdamm 225;13627;Berlin
Apotheke am Heertor;Rabanusstraße 1a;36037;Fulda
Apotheke am Helmholtzplatz;Raumerstr. 14a;10437;Berlin
Apotheke am Helmholtzplatz OHG;Raumerstr. 14a;10437;Berlin
Apotheke am Hirschbach;Hauptstr. 22;85659;Forstern
Apotheke am Hirschgarten;Neuwerkstr. 24;99084;Erfurt
Apotheke am HIT;Lübecker Str. 1;41540;Dormagen
Apotheke am Hochfeld;Weglache 48;65205;Wiesbaden
Apotheke am Hochhaus;Untere Beete 1;36433;Bad Salzungen
Apotheke am Holzmarkt;Holzmarkt 13;95326;Kulmbach
Apotheke am Homburg;Am Homburg 45;66123;Saarbrücken
Apotheke am Husemannplatz;Kortumstr. 66;44787;Bochum
Apotheke am Jahnstadion;Liselotte-Herrmann-Str. 13;02977;Hoyerswerda
Apotheke am Jungfernsprung;Pirmasenser Str. 23b;66994;Dahn
Apotheke am KAP;Konrad-Adenauer-Platz 26;53225;Bonn
Apotheke am Karlsplatz;Altenessener Str. 447;45329;Essen
Apotheke am Kaufhof;Schlutuper Str. 8-10;23566;Lübeck
Apotheke am Kaufhof Schlutuper Stra;Schlutuper Str. 8-10;23566;Lübeck
Apotheke am Kelterplatz;Ludwigsburger Str. 100;70435;Stuttgart
Apotheke am Kirchplatz;Kirchplatz 8b;82041;Oberhaching
Apotheke am Kirchplatz;Auf dem Bruch 106;45475;Mülheim an der Ruhr
Apotheke am Klinikum;Eppenreuther Str. 28;95032;Hof
